job_id,job_name,threads,total_time,computation_time,communication_time,speedup
21124572,omp_scale_1t,1,63.0732,63.0729,0.000123015,1.0
21124573,omp_scale_2t,2,36.0681,36.0679,5.2167e-05,1.7487253279213488
21124574,omp_scale_4t,4,24.7454,24.7451,5.998e-05,2.5488858535323735
21124575,omp_scale_8t,8,19.9072,19.907,4.1763e-05,3.1683611959492044
21124576,omp_scale_16t,16,15.8218,15.8215,0.000152677,3.986474358164052
21124578,omp_scale_32t,32,7.99692,7.99658,0.000155792,7.887186566828229
21124579,omp_scale_56t,56,4.55041,4.54995,0.000140937,13.860992745708627
21124580,omp_scale_84t,84,3.42224,3.42166,0.000201211,18.43038477722194
21124581,omp_scale_112t,112,2.68366,2.68309,0.000230469,23.502679176944916
